epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1545,0.61763,2.58117,0.97827,0.00935,0.95,0.9376,0.84877,0.42893,2.68528,0.86727,0.00032,0.00032,0.00032
2,44.2607,0.59999,1.37768,0.91403,0.95454,0.75,0.91286,0.80865,0.47943,2.23736,0.91265,0.00063822,0.00063822,0.00063822
3,64.8049,0.56666,1.16254,0.91083,0.82693,0.75,0.85171,0.72619,0.61249,2.05738,1.04568,0.000934,0.000934,0.000934
4,85.2017,0.70595,1.25556,0.92694,1,0.89043,0.93029,0.81975,0.60671,1.80673,0.97937,0.00120734,0.00120734,0.00120734
5,106.087,0.62867,1.21669,0.94917,0.98514,0.9,0.93828,0.80804,0.6315,1.61656,1.05292,0.00145824,0.00145824,0.00145824
6,127.577,0.7043,1.29535,0.94955,0.94649,0.88504,0.93565,0.75006,0.71514,1.70255,1.11098,0.00167,0.00167,0.00167
7,148.643,0.63688,1.21022,0.94747,0.94561,0.95,0.9426,0.72082,0.82509,1.85944,1.25794,0.001604,0.001604,0.001604
8,169.638,0.59479,1.18861,0.92771,0.99194,0.85,0.93146,0.77099,0.72924,1.69305,1.09821,0.001538,0.001538,0.001538
9,191.996,0.59533,1.07749,0.93134,0.98831,0.9,0.94034,0.80146,0.58121,1.68225,0.99691,0.001472,0.001472,0.001472
10,213.53,0.60182,1.10366,0.91618,0.9884,0.85,0.88825,0.75211,0.58443,1.81418,1.01225,0.001406,0.001406,0.001406
11,235.5,0.58908,1.05999,0.90847,0.9256,0.85,0.92691,0.76417,0.58951,1.74471,1.05167,0.00134,0.00134,0.00134
12,256.702,0.58017,0.94735,0.89999,0.89402,0.84384,0.89668,0.78381,0.56659,1.72074,0.97389,0.001274,0.001274,0.001274
13,277.451,0.54441,0.90544,0.89173,0.8689,0.85,0.92648,0.73954,0.68368,2.03963,1.05456,0.001208,0.001208,0.001208
14,298.623,0.52271,0.89762,0.87629,0.94037,0.95,0.9426,0.79704,0.60374,1.51414,0.96829,0.001142,0.001142,0.001142
15,320.952,0.56449,0.92866,0.90627,0.88963,0.95,0.93558,0.80828,0.58976,1.30943,0.95605,0.001076,0.001076,0.001076
16,342.542,0.57592,0.92341,0.91198,0.90376,0.93946,0.93507,0.83669,0.53927,1.25213,0.93542,0.00101,0.00101,0.00101
17,364.206,0.49415,0.84074,0.89511,0.96239,0.95,0.9451,0.83118,0.51615,1.39384,0.9293,0.000944,0.000944,0.000944
18,385.78,0.52532,0.91539,0.9146,0.98967,0.95,0.9451,0.87349,0.47561,1.28942,0.92365,0.000878,0.000878,0.000878
19,406.177,0.53686,0.85217,0.88126,0.99813,0.95,0.9451,0.85872,0.46887,1.33346,0.91507,0.000812,0.000812,0.000812
20,427.608,0.50852,0.85796,0.89586,0.996,0.95,0.9451,0.85296,0.48069,1.23944,0.90989,0.000746,0.000746,0.000746
21,448.329,0.42102,1.05804,0.84154,0.99657,0.95,0.9451,0.85143,0.46017,1.03052,0.89162,0.00068,0.00068,0.00068
22,469.277,0.42046,1.0478,0.83425,0.99635,0.95,0.9451,0.86527,0.44664,0.97797,0.90121,0.000614,0.000614,0.000614
23,490.504,0.41543,1.01403,0.85451,0.9967,0.95,0.9451,0.86305,0.44236,0.98437,0.90558,0.000548,0.000548,0.000548
24,512.281,0.39664,1.07947,0.84608,0.99698,0.95,0.9451,0.86962,0.42604,0.97871,0.89006,0.000482,0.000482,0.000482
25,532.846,0.39471,1.00621,0.84563,0.99728,0.95,0.9451,0.881,0.41469,0.92825,0.8851,0.000416,0.000416,0.000416
26,553.376,0.42213,0.97967,0.84059,0.99667,0.95,0.9451,0.88311,0.40547,0.91153,0.87966,0.00035,0.00035,0.00035
27,574.304,0.38723,0.94298,0.8288,0.9964,0.95,0.9451,0.88213,0.40839,0.88666,0.87692,0.000284,0.000284,0.000284
28,594.731,0.36996,0.9081,0.82371,0.99663,0.95,0.9451,0.87619,0.41571,0.85812,0.87895,0.000218,0.000218,0.000218
29,615.545,0.37172,0.87585,0.80997,0.9968,0.95,0.9451,0.87432,0.42229,0.85143,0.88133,0.000152,0.000152,0.000152
30,635.818,0.34679,0.88591,0.82578,0.997,0.95,0.9451,0.88326,0.42079,0.84308,0.88038,8.6e-05,8.6e-05,8.6e-05
